iter	Passed	Remaining
828	6844	1411
829	6853	1403
830	6857	1394
831	6860	1385
832	6874	1378
833	6881	1369
834	6885	1360
835	6889	1351
836	6895	1342
837	6900	1333
838	6904	1324
839	6907	1315
840	6914	1307
841	6919	1298
842	6930	1290
843	6944	1283
844	6950	1274
845	6954	1265
846	6965	1258
847	6968	1249
848	6974	1240
849	6979	1231
850	6983	1222
851	6991	1214
852	6995	1205
853	6999	1196
854	7006	1188
855	7010	1179
856	7016	1170
857	7031	1163
858	7043	1156
859	7048	1147
860	7061	1139
861	7067	1131
862	7073	1122
863	7077	1114
864	7084	1105
865	7089	1096
866	7092	1088
867	7099	1079
868	7102	1070
869	7106	1061
870	7110	1053
871	7119	1045
872	7122	1036
873	7126	1027
874	7133	1019
875	7149	1011
876	7169	1005
877	7185	998
878	7199	991
879	7218	984
880	7233	977
881	7247	969
882	7263	962
883	7310	959
884	7326	952
885	7337	944
886	7345	935
887	7356	927
888	7362	919
889	7371	911
890	7396	904
891	7439	900
892	7456	893
893	7461	884
894	7475	877
895	7487	869
896	7492	860
897	7503	852
898	7513	844
899	7521	835
900	7534	827
901	7542	819
902	7551	811
903	7555	802
904	7564	794
905	7569	785
906	7578	777
907	7585	768
908	7596	760
909	7600	751
910	7614	743
911	7625	735
912	7635	727
913	7649	719
914	7673	712
915	7680	704
916	7692	696
917	7699	687
918	7710	679
919	7722	671
920	7729	663
921	7754	656
922	7770	648
923	7780	639
924	7796	632
925	7818	624
926	7843	617
927	7878	611
928	7896	603
929	7913	595
930	7930	587
931	7946	579
932	7980	573
933	7995	564
934	8011	556
935	8026	548
936	8045	540
937	8062	532
938	8078	524
939	8125	518
940	8144	510
941	8177	503
942	8259	499
943	8274	490
944	8290	482
945	8418	480
946	8438	472
947	8456	463
948	8512	457
949	8534	449
950	8548	440
951	8596	433
952	8626	425
953	8633	416
954	8643	407
955	8663	398
956	8679	389
957	8690	381
958	8698	371
959	8709	362
960	8721	353
961	8732	344
962	8739	335
963	8758	327
964	8775	318
965	8788	309
966	8803	300
967	8820	291
968	8850	283
969	8865	274
970	8881	265
971	8893	256
972	8901	247
973	8912	237
974	8918	228
975	8926	219
976	8945	210
977	8954	201
978	8969	192
979	8982	183
980	8989	174
981	9001	164
982	9015	155
983	9022	146
984	9032	137
985	9037	128
986	9063	119
987	9080	110
988	9112	101
989	9131	92
990	9157	83
991	9166	73
992	9181	64
993	9197	55
994	9218	46
995	9230	37
996	9247	27
997	9261	18
998	9271	9
999	9279	0
